X_train,y_train
0.26,0.029112
0.271,-0.13064
0.249,-0.020273
0.19,0.029796
0.424,-0.51547
0.954,-1.3139
0.056,-0.5526
0.481,-0.84849
0.654,-1.8199
0.459,-0.65553
0.242,0.00048987
0.979,-1.1998
0.251,0.054135
0.924,-1.4187
0.53,-1.169
0.302,-0.10109
0.185,-0.093301
0.708,-1.9293
0.533,-1.1738
0.161,-0.07374
0.625,-1.6577
0.605,-1.6405
0.178,-0.046106
0.23,0.037395
0.262,-0.1024
0.165,-0.16001
0.473,-0.8483
0.1,-0.39993
0.817,-1.9581
0.388,-0.31675
0.204,-0.053708
0.277,0.10916
0.464,-0.73642
0.127,-0.34182
0.791,-2.0657
0.631,-1.7751
0.011,-0.93209
0.007,-0.96252
0.403,-0.42674
0.945,-1.3323
0.079,-0.50319
0.998,-1.008
0.695,-2.0218
0.055,-0.64843
0.291,0.05117
0.564,-1.4256
0.144,-0.12373
0.316,-0.10756
0.131,-0.24111
0.809,-1.8932
0.453,-0.64715
0.915,-1.5581
0.842,-1.8396
0.104,-0.45542
0.825,-1.81
0.951,-1.3295
0.207,0.039247
0.822,-1.8138
0.331,-0.091659
0.037,-0.73191
0.816,-2.034
0.08,-0.58009
0.346,-0.11701
0.063,-0.61065
0.557,-1.3421
0.466,-0.85234
0.873,-1.7686
0.298,-0.028635
0.238,0.014599
0.383,-0.3792
0.766,-1.8804
0.921,-1.4691
0.494,-0.97521
0.808,-1.9441
0.024,-0.78659
0.147,-0.21381
0.582,-1.447
0.691,-1.9557
0.492,-0.86394
0.601,-1.6001
0.987,-1.0329
0.293,0.013489
0.777,-2.0334
0.344,-0.15219
0.925,-1.4196
0.645,-1.8327
0.074,-0.45496
0.108,-0.41726
0.716,-1.9278
0.295,0.079365
0.028,-0.81548
0.402,-0.43574
0.603,-1.586
0.157,-0.17727
0.172,-0.12179
0.372,-0.24432
0.389,-0.26476
0.456,-0.69107
0.361,-0.23006
0.31,-0.0013874
0.896,-1.6063
0.229,0.063515
0.133,-0.30665
0.01,-0.91115
0.237,0.026774
0.532,-1.2998
0.904,-1.5678
0.474,-0.78855
0.358,-0.24087
0.284,-0.044556
0.751,-2.1039
0.597,-1.5582
0.767,-1.9589
0.052,-0.72021
0.309,-0.070247
0.314,-0.068289
0.937,-1.3071
0.811,-2.0138
0.425,-0.67151
0.871,-1.835
0.717,-2.0132
0.697,-1.9532
0.218,0.084372
0.982,-1.0816
0.882,-1.5984
0.109,-0.38093
0.184,-0.026166
0.488,-0.95872
0.634,-1.6802
0.34,-0.15406
0.929,-1.3746
0.364,-0.24778
0.586,-1.4293
0.702,-1.976
0.044,-0.67258
0.379,-0.27635
0.547,-1.269
0.729,-2.0154
0.613,-1.6845
0.764,-1.9795
0.175,-0.18997
0.143,-0.25887
0.536,-1.319
0.903,-1.6408
0.319,-0.12025
0.955,-1.268
0.502,-1.0065
0.953,-1.2227
0.196,-0.11549
0.863,-1.8392
0.66,-1.8532
0.507,-1.0746
0.721,-1.9758
0.355,-0.17422
0.194,-0.1081
0.247,0.005824
0.712,-1.9696
0.24,0.0028168
0.114,-0.42522
0.077,-0.6044
0.653,-1.8763
0.312,-0.024571
0.556,-1.3176
0.439,-0.59549
0.699,-1.8749
0.381,-0.33326
0.589,-1.5458
0.014,-0.96565
0.563,-1.3707
0.796,-1.9057
0.454,-0.77384
0.045,-0.81422
0.287,-0.05782
0.021,-0.88564
0.064,-0.63618
0.674,-1.9079
0.334,-0.11924
0.887,-1.6619
0.013,-0.96411
0.267,0.026765
0.393,-0.41311
0.485,-0.86825
0.936,-1.405
0.306,-0.098287
0.376,-0.27881
0.677,-1.9061
0.797,-2.0822
0.462,-0.7392
0.917,-1.5275
0.36,-0.26879
0.728,-1.9561
0.437,-0.53658
0.422,-0.58791
0.962,-1.3858
0.057,-0.62573
0.065,-0.69217
0.461,-0.76203
0.77,-2.0109
0.761,-1.9048
0.5,-0.91594
0.113,-0.23845
0.585,-1.606
0.855,-1.8171
0.799,-1.9174
0.154,-0.23202
0.854,-1.7209
0.939,-1.4153
0.698,-1.857
0.28,0.044813
0.241,-0.03525
0.58,-1.3887
0.911,-1.4776
0.894,-1.5826
0.938,-1.2395
0.775,-1.9052
0.892,-1.6253
0.997,-0.96119
0.414,-0.47874
0.406,-0.40962
0.255,0.077895
0.846,-1.7847
0.282,-0.01475
1.0,-0.96492
0.541,-1.2052
0.322,-0.12757
0.105,-0.31441
0.707,-1.9218
0.83,-1.944
0.031,-0.89569
0.359,-0.24057
0.65,-1.8321
0.221,0.022795
0.415,-0.53466
0.053,-0.67249
0.117,-0.32036
0.141,-0.20832
0.137,-0.23693
0.303,-0.10045
0.187,-0.11239
0.003,-0.8667
0.03,-0.87643
0.529,-1.1689
0.864,-1.7001
0.286,-0.076032
0.819,-1.8663
0.054,-0.65746
0.692,-2.0062
0.06,-0.63154
0.472,-0.85753
0.731,-1.9141
0.609,-1.6248
0.612,-1.638
0.594,-1.4763
0.566,-1.3644
0.553,-1.35
0.651,-1.7912
0.992,-1.0391
0.526,-1.233
0.996,-1.0606
0.496,-0.94766
0.272,-0.024791
0.973,-1.215
0.85,-1.7336
0.441,-0.66214
0.718,-1.913
0.847,-1.8806
0.619,-1.6581
0.96,-1.1432
0.685,-1.9402
0.616,-1.7162
0.916,-1.4674
0.297,-0.036086
0.94,-1.341
0.248,-0.052604
0.259,-0.05609
0.62,-1.694
0.168,-0.084597
0.745,-2.0369
0.804,-1.8641
0.861,-1.7185
0.35,-0.039792
0.999,-1.0239
0.497,-0.96858
0.967,-1.1915
0.824,-1.8424
0.386,-0.42254
0.408,-0.59699
0.365,-0.28808
0.673,-1.8736
0.661,-1.9152
0.228,-0.10385
0.264,-0.034619
0.657,-1.7477
0.542,-1.2834
0.416,-0.53813
0.345,-0.14233
0.508,-1.0595
0.55,-1.2988
0.59,-1.5181
0.397,-0.43084
0.046,-0.66788
0.678,-1.9058
0.155,-0.27552
0.324,-0.15899
0.465,-0.77627
0.638,-1.7722
0.736,-1.9517
0.666,-1.8467
0.672,-1.8712
0.0,-0.94319
0.971,-1.2023
0.732,-2.0975
0.159,-0.12166
0.9,-1.6322
0.752,-2.0105
0.63,-1.7316
0.743,-1.914
0.531,-1.2535
0.301,-0.11252
0.243,-0.058274
0.966,-1.2749
0.747,-2.0295
0.45,-0.74749
0.527,-1.1914
0.927,-1.3817
0.288,0.0054283
0.81,-1.9474
0.679,-1.9637
0.828,-1.8899
0.426,-0.50802
0.193,-0.092333
0.325,-0.080597
0.486,-0.91708
0.773,-1.9108
0.038,-0.80036
0.048,-0.58742
0.899,-1.55
0.44,-0.63573
0.061,-0.65034
0.865,-1.7753
0.64,-1.7633
0.89,-1.6843
0.452,-0.68463
0.126,-0.27063
0.432,-0.6063
0.787,-2.0113
0.968,-1.2655
0.42,-0.45866
0.969,-1.1537
0.843,-1.7779
0.285,-0.017258
0.197,-0.085044
0.215,-0.036654
0.92,-1.4304
0.98,-1.0518
0.071,-0.64813
0.928,-1.4194
0.935,-1.4749
0.948,-1.2623
0.349,-0.14433
0.382,-0.27377
0.102,-0.51885
0.348,-0.22931
0.513,-1.0999
0.902,-1.6101
0.15,-0.19947
0.384,-0.25874
0.375,-0.29933
0.667,-1.8313
0.993,-1.1229
0.068,-0.51534
0.857,-1.79
0.795,-2.0039
0.299,-0.032872
0.748,-1.8369
0.522,-1.1689
0.111,-0.33291
0.066,-0.53107
0.446,-0.67783
0.311,-0.11488
0.491,-0.8785
0.283,-0.031745
0.401,-0.4586
